Model,Cal slope,Cal intercept,ECE
Scorecard (recalibrated),0.9991992272310338,-7.164093723233784e-05,0.04203243422606931
Logistic reg.,1.4434124430735231,0.35643101132770294,0.13467784650410392
ROMA,1.528812176415056,2.6131665855291604,0.2195360530015392
CPH-I,1.1062408421801115,3.1089445499573682,0.30324225051141807
