threshold,treat_all,scorecard_recal,scorecard_recal_lo,scorecard_recal_hi,ROMA,ROMA_lo,ROMA_hi
0.01,0.48963317384370014,0.4874269005847953,0.439819245082403,0.5405940988835726,0.48965975544922913,0.4444703615098352,0.542796384901648
0.02,0.4844253490870032,0.48039742212674547,0.4348012889366273,0.5341058002148228,0.48474758324382383,0.43914876476906556,0.5382935016111708
0.03,0.4791101465002713,0.4757189365165491,0.4294804666304938,0.529575420510038,0.4805751492132393,0.43437330439500815,0.5345130222463376
0.04,0.47368421052631576,0.47094298245614036,0.42214638157894735,0.5233580043859649,0.47072368421052635,0.4243393640350877,0.5247861842105263
0.05,0.4681440443213296,0.4619113573407202,0.41509349030470916,0.5185630193905817,0.4616343490304709,0.4123234072022161,0.5167624653739612
0.06,0.46248600223964165,0.45772676371780513,0.4104661254199328,0.5132236842105262,0.454535274356103,0.40575587905935057,0.5086870100783875
0.07,0.4567062818336163,0.4534521788341822,0.405739247311828,0.5088016411997736,0.44765138653084324,0.39731182795698927,0.5022722127900396
0.08,0.45080091533180777,0.4490846681922197,0.40467963386727684,0.5056064073226545,0.43489702517162476,0.3859096109839817,0.4907351258581235
0.09,0.4447657605552342,0.44462116830537884,0.4006882591093117,0.5028166570271833,0.4222382880277617,0.37437246963562754,0.47771688837478316
0.1,0.43859649122807015,0.447953216374269,0.3979093567251462,0.500877192982456,0.41432748538011693,0.3651754385964912,0.4672953216374269
0.11,0.43228858663512715,0.4459491425192194,0.39591218214074514,0.4988172678888232,0.3632170313424009,0.3151737137788291,0.41321777054997044
0.12,0.4258373205741627,0.44389952153110046,0.39484449760765555,0.49762559808612433,0.32655502392344493,0.2787888755980861,0.37392344497607655
0.13,0.41923774954627946,0.4418027828191168,0.39300211736237145,0.4956336963097398,0.3133091349062311,0.2681692377495463,0.35990093768905024
0.14,0.412484700122399,0.4396572827417381,0.3902646878824969,0.495298347613219,0.3049571603427173,0.2593619951040392,0.35233629130966954
0.15,0.4055727554179566,0.4374613003095975,0.3888428792569659,0.493657120743034,0.3023219814241486,0.25850232198142414,0.3500038699690402
0.16,0.39849624060150374,0.4352130325814536,0.3869642857142857,0.49135964912280694,0.3023809523809524,0.2581328320802005,0.34978696741854637
0.17,0.3912492073557387,0.4329105897273304,0.3844007609384908,0.4891915028535193,0.2940710209258085,0.24879359543436907,0.33982403297400127
0.18,0.3838254172015404,0.43055198973042363,0.38054717586649556,0.4872416559691912,0.2863286264441592,0.24099165596919125,0.33428273427471117
0.19,0.3762183235867446,0.4281351526965562,0.3768973359324237,0.4850958414554905,0.2865497076023392,0.240574236517219,0.334091942820013
0.2,0.3684210526315789,0.4256578947368421,0.3736842105263158,0.4828947368421052,0.2861842105263158,0.24013157894736845,0.3335690789473684
0.21,0.3604263824117255,0.42311792138574283,0.37051882078614257,0.4803214523650899,0.28317788141239175,0.23826115922718186,0.33040139906728844
0.22,0.3522267206477733,0.4205128205128205,0.3678812415654521,0.47827429149797573,0.27753036437246964,0.23393049932523616,0.32188259109311745
0.23,0.3438140806561859,0.4125427204374573,0.3625170881749829,0.47622693096377305,0.27450444292549553,0.22924128503075872,0.3197804169514696
0.24,0.335180055401662,0.4102493074792244,0.35870152354570634,0.47355955678670353,0.2740997229916897,0.2286634349030471,0.319553324099723
0.25,0.3263157894736842,0.4078947368421053,0.3543859649122807,0.4710526315789474,0.2728070175438596,0.22719298245614036,0.31844298245614033
0.26,0.3172119487908961,0.40547652916073973,0.35163584637268847,0.46849573257467986,0.27339971550497866,0.22864331436699858,0.31908072546230437
0.27,0.3078586878154289,0.4029920692141312,0.3488031723143475,0.46576333813987025,0.2704758471521269,0.2264140230713771,0.31522981254506127
0.28,0.29824561403508765,0.4004385964912281,0.3458954678362573,0.46345394736842105,0.27017543859649124,0.22601973684210527,0.3149269005847953
0.29,0.2883617494440326,0.39781319495922907,0.34290585618977015,0.4601334321719792,0.2693847294292068,0.2261925500370645,0.31520848776871757
0.3,0.27819548872180444,0.39511278195488725,0.33983082706766915,0.4578947368421053,0.26917293233082706,0.22593045112781956,0.315046992481203
0.31,0.2677345537757436,0.3923340961098398,0.3366762013729977,0.45482551487414186,0.2689549961861175,0.2256607551487414,0.31488081617086194
0.32,0.2569659442724458,0.3894736842105263,0.3334287925696594,0.45188080495356037,0.26609907120743037,0.22275541795665635,0.31116486068111454
0.33,0.24587588373919866,0.38652788688138257,0.3300844461901021,0.44951983503534954,0.26323644933228596,0.2197623723487824,0.30670954438334636
0.34,0.23444976076555019,0.38349282296650716,0.32679425837320575,0.4470773524720893,0.26036682615629986,0.21690590111642744,0.3051076555023924
0.35,0.22267206477732787,0.3803643724696356,0.32367914979757084,0.44455465587044535,0.2601214574898785,0.2165991902834008,0.30486842105263157
0.36,0.21052631578947362,0.3771381578947368,0.32022615131578946,0.441953125,0.2613486842105263,0.21772615131578948,0.3057648026315789
0.37,0.19799498746867167,0.3738095238095238,0.3168671679197995,0.4394548872180451,0.2626984126984127,0.21949561403508772,0.3074467418546366
0.38,0.18505942275042442,0.3703735144312394,0.314768675721562,0.43694185059422747,0.26154499151103566,0.21842105263157896,0.30526315789473685
0.39,0.17169974115616904,0.36682484900776535,0.31176660914581533,0.43459879206212254,0.26147540983606554,0.21842105263157896,0.30526315789473685
0.4,0.1578947368421052,0.3631578947368421,0.3148684210526316,0.43157894736842106,0.2614035087719298,0.21842105263157896,0.30526315789473685
0.41,0.14362176628010698,0.3593666369313113,0.31198148974130235,0.430870874219447,0.2534344335414808,0.20948037466547725,0.29736842105263156
0.42,0.12885662431941913,0.35544464609800364,0.31024274047186934,0.4281306715063521,0.25,0.20782894736842106,0.29473684210526313
0.43,0.11357340720221609,0.35138504155124656,0.315544783010157,0.4271479686057249,0.25,0.20782894736842106,0.29473684210526313
0.44,0.09774436090225563,0.3815789473684211,0.31409304511278197,0.4300892857142857,0.24736842105263157,0.20526315789473684,0.2894736842105263
0.45,0.08133971291866027,0.3803827751196172,0.31315191387559804,0.4299102870813397,0.24736842105263157,0.20526315789473684,0.2894736842105263
0.46,0.0643274853801169,0.3791423001949318,0.3146076998050682,0.42875243664717344,0.24210526315789474,0.2,0.28421052631578947
0.47,0.046673286991062546,0.37785501489572987,0.3146971201588878,0.4287549652432969,0.2394736842105263,0.19736842105263158,0.28157894736842104
0.48,0.028340080971659853,0.3765182186234818,0.31720647773279353,0.4283451417004049,0.23421052631578948,0.19210526315789472,0.27631578947368424
0.49,0.009287925696594423,0.3751289989680083,0.31719427244582044,0.42791666666666667,0.23157894736842105,0.18947368421052632,0.2710526315789474
0.5,-0.010526315789473717,0.3736842105263158,0.3157894736842105,0.42894736842105263,0.23157894736842105,0.18947368421052632,0.2710526315789474
0.51,-0.031149301825993625,0.37218045112781956,0.3137459720730398,0.4275590762620838,0.22894736842105262,0.1894078947368421,0.2710526315789474
0.52,-0.052631578947368585,0.3706140350877193,0.31205043859649123,0.42676535087719303,0.22631578947368422,0.1868421052631579,0.26842105263157895
0.53,-0.07502799552071682,0.36898096304591266,0.3100615901455767,0.4255949048152296,0.22631578947368422,0.1868421052631579,0.26842105263157895
0.54,-0.09839816933638457,0.36727688787185353,0.3079862700228833,0.42381292906178486,0.2236842105263158,0.18421052631578946,0.2632236842105262
0.55,-0.12280701754385981,0.3654970760233918,0.3058187134502924,0.4222441520467836,0.21842105263157896,0.17894736842105263,0.2578947368421053
0.56,-0.14832535885167475,0.36363636363636365,0.30355263157894735,0.42180023923444976,0.2131578947368421,0.1736842105263158,0.25526315789473686
0.57,-0.1750305997552022,0.3616891064871481,0.30028610771113834,0.42040238678090575,0.21052631578947367,0.17105263157894737,0.25
0.58,-0.20300751879699275,0.35964912280701755,0.2969893483709273,0.41930451127819546,0.20789473684210527,0.16835526315789473,0.24736842105263157
0.59,-0.23234916559691898,0.3575096277278562,0.29646181001283695,0.41771501925545573,0.2026315789473684,0.1631578947368421,0.24210526315789474
0.6,-0.26315789473684204,0.35526315789473684,0.29601973684210525,0.41578947368421054,0.19473684210526315,0.15526315789473685,0.23421052631578948
