bins,reg,C,cv,fold_sd,west,japan,weights
3,l2,0.5,0.903922302254235,0.03855118407447208,0.918716755319149,0.8732098765432098,7
3,l2,1.5,0.9065927037481659,0.036736801028313795,0.9291749778368794,0.8429629629629629,7
3,l2,5.0,0.9027953181272508,0.03877369775203227,0.9170960771276596,0.8723456790123457,7
4,l2,0.5,0.9128924236361211,0.034674780028933413,0.8796265514184398,0.8886419753086421,12
4,l2,1.5,0.9114979325063359,0.030714457349278298,0.880610039893617,0.8887654320987655,12
4,l2,5.0,0.9093719487795118,0.03177264141515625,0.8747368129432624,0.8932098765432099,11
5,l2,0.5,0.9044321728691477,0.04020222165841961,0.9087987588652483,0.8702469135802469,14
5,l2,1.5,0.9037527010804322,0.03965541534685293,0.908521719858156,0.8651851851851853,14
5,l2,5.0,0.900187608376684,0.04065429203571633,0.9065685948581561,0.8580246913580247,14
7,l2,0.5,0.9093850873682806,0.03916378755029652,0.9111535904255319,0.9091358024691357,19
7,l2,1.5,0.9100517540349473,0.038346658568811545,0.9139378324468084,0.9004938271604939,18
7,l2,5.0,0.909093637454982,0.03656965609233829,0.9091727615248226,0.8850617283950617,18
3,l1,0.5,0.9074094971321862,0.037627062002230774,0.9073720079787234,0.7959259259259258,5
3,l1,1.5,0.9033245298119248,0.041126322908353934,0.9175808953900709,0.871358024691358,6
3,l1,5.0,0.9009552487661731,0.04185948325149902,0.9175808953900709,0.871358024691358,6
4,l1,0.5,0.9089571828731493,0.030550085292222653,0.8728390957446808,0.8928395061728396,10
4,l1,1.5,0.9094459116980126,0.03012293529119309,0.8728390957446808,0.8928395061728396,10
4,l1,5.0,0.9101812058156596,0.029585630385818962,0.8815519725177305,0.8433333333333333,10
5,l1,0.5,0.9010427504335068,0.03476600880994927,0.8937832446808511,0.8425925925925926,11
5,l1,1.5,0.9022203548085901,0.039941918800934596,0.8972046764184398,0.8438271604938272,11
5,l1,5.0,0.8983157262905163,0.040357873557277206,0.8947528812056738,0.8448148148148148,11
7,l1,0.5,0.9103797519007604,0.038843641541158165,0.8825216090425533,0.858395061728395,12
7,l1,1.5,0.9077238895558224,0.03796100933334702,0.8906942597517731,0.8669135802469136,13
7,l1,5.0,0.9029371748699481,0.034691923110633724,0.8725205008865249,0.8730864197530863,13
2,l2,0.5,0.8957753101240495,0.04488334897537552,0.8472683953900709,0.7995061728395063,6
2,l2,1.5,0.8945388155262105,0.04517011047369149,0.8472683953900709,0.7995061728395063,6
2,l2,5.0,0.8945388155262105,0.04517011047369149,0.8472683953900709,0.7995061728395063,6
2,l1,0.5,0.8962545018007203,0.04344132036165142,0.847088320035461,0.7992592592592593,6
2,l1,1.5,0.8960911031079097,0.04359437674306381,0.8472683953900709,0.7995061728395063,6
2,l1,5.0,0.897327597705749,0.043241731355640384,0.8472683953900709,0.7995061728395063,6
