Model,Cohort,AUROC,CI low,CI high
Random Forest,West CC,0.9299083310156288,0.8707408811557187,0.9789026247245042
Random Forest,West,0.8949559737834744,0.8580273252955706,0.931011576883749
Random Forest,Japan,0.8189934998821937,0.6917126542646044,0.9255859922685574
XGBoost,West CC,0.9458505968141768,0.8966358634780955,0.9835126774267399
XGBoost,West,0.8896441232581781,0.8526275507228017,0.9246482759416992
XGBoost,Japan,0.839849891834463,0.710894571171613,0.9444528580304443
CatBoost,West CC,0.9096918140681394,0.845249475953545,0.9624252438707763
CatBoost,West,0.8766084545634574,0.8362201993805651,0.914748645573253
CatBoost,Japan,0.7720217557425748,0.6502291118396598,0.8798545069489218
