Comparator,dAUROC,CI low,CI high,p
Raw LR,-0.0065,-0.0245,0.011,0.478
ROMA,0.0429,0.0116,0.0731,0.008
CPH-I,0.0609,0.0322,0.0923,0.0
XGBoost,0.0395,0.0123,0.0682,0.0
CatBoost,0.0524,0.0208,0.0858,0.0
Random Forest,0.0342,0.0057,0.0647,0.014
