model,cv_auroc,fold_sd
"Scorecard (3 bins, L2, C=1.5)",0.9065927037481659,0.036736801028313795
XGBoost (defaults),0.8832762438308656,0.03281513123713765
CatBoost (defaults),0.8971128451380552,0.03571983484194535
Random Forest (defaults),0.8954408430038683,0.03527315833036051
