NRI_events,NRI_nonevents,NRI_catfree,NRI_10pct,NRI_50pct,IDI,Comparator,NRI 95% CI low,NRI 95% CI high,IDI 95% CI low,IDI 95% CI high
0.6808510638297873,-0.90625,-0.22539893617021267,-0.6170212765957447,-0.30718085106382975,0.07085741307254478,ROMA,-0.347,-0.099,0.036,0.106
0.8936170212765957,-0.9895833333333333,-0.09596631205673756,-0.6445035460992908,-0.2102171985815603,0.11001495057900823,CPH-I,-0.169,-0.034,0.077,0.144
-0.06382978723404253,-0.2604166666666667,-0.3242464539007092,0.10915336879432624,0.09519060283687944,-0.04777945591754457,Raw LR,-0.523,-0.131,-0.075,-0.021
-0.5,-0.6875,-1.1875,-0.5437721631205674,-0.444924645390071,-0.19697912160260161,XGBoost,-1.349,-1.036,-0.242,-0.152
