Model,Cohort,AUROC,CI low,CI high
Random Forest,West CC,0.9099314744393554,0.8465879120879122,0.9610618441353735
Random Forest,West,0.8787293650179769,0.8394277172740809,0.9160414300919241
Random Forest,Japan,0.7936453149561944,0.6813710607537362,0.8954766213086275
XGBoost,West CC,0.9213870965366996,0.8589538601542215,0.972497096850545
XGBoost,West,0.8867502616709921,0.8498284179153678,0.9216489059305171
XGBoost,Japan,0.7358073045444196,0.5973029325011755,0.8613796296296292
CatBoost,West CC,0.9217094317396636,0.8599958639705884,0.9719590905635428
CatBoost,West,0.8786685900820682,0.8386829563220638,0.9169809697548796
CatBoost,Japan,0.749986982782204,0.6133126740629138,0.8707994149570236
