Model,AUROC,CI low,CI high
Raw LR,0.9259792672835496,0.8960534722222222,0.9522747217168828
Scorecard,0.852928800370526,0.8106967568043544,0.8908905329200666
CatBoost,0.8868005518292261,0.8490132787870718,0.9215578368396555
