iter	Logloss
0	0.4778431049
1	0.3572179159
2	0.3092725408
3	0.2886561634
4	0.2618247433
5	0.2550723591
6	0.247359644
7	0.2361041428
8	0.2230272328
9	0.217136931
10	0.1985290737
11	0.1953127869
12	0.1897064834
13	0.1844058398
14	0.1695905774
15	0.162231698
16	0.1529357742
17	0.1483270719
18	0.1386308829
19	0.1343231801
20	0.1328742967
21	0.132574572
22	0.1242109739
23	0.1182985082
24	0.1116416593
25	0.1037981495
26	0.09803074095
27	0.09418471088
28	0.08902366426
29	0.08252978782
30	0.07985229178
31	0.07675377095
32	0.07335744936
33	0.0697798972
34	0.06610943121
35	0.06452112768
36	0.06274682006
37	0.05854114304
38	0.05653830063
39	0.05440785857
40	0.05275756502
41	0.04888946278
42	0.04747456809
43	0.0458705235
44	0.044764765
45	0.04261377027
46	0.04093586894
47	0.0401281272
48	0.03831750564
49	0.03742379452
50	0.03679710344
51	0.03549296994
52	0.03487148783
53	0.0343221989
54	0.03286938113
55	0.03221703316
56	0.03180886959
57	0.03133880987
58	0.0304578889
59	0.02963276682
60	0.02871128032
61	0.02856876218
62	0.02777045043
63	0.02662324895
64	0.02570209422
65	0.02469423053
66	0.02403190905
67	0.0234346823
68	0.02316882763
69	0.02256920491
70	0.02214146705
71	0.02148656848
72	0.02114431298
73	0.02072375665
74	0.0202184478
75	0.02002735688
76	0.01946218158
77	0.01934314078
78	0.01885881665
79	0.0186197658
80	0.01837220458
81	0.01797267953
82	0.01759495995
83	0.01724969476
84	0.0167151977
85	0.0165895062
86	0.0164347463
87	0.01616805279
88	0.01595471247
89	0.01584240201
90	0.01549062519
91	0.01531775439
92	0.01503901441
93	0.01491743788
94	0.01474602067
95	0.01461072978
96	0.0145120346
97	0.01418596602
98	0.01408736672
99	0.01399312944
100	0.01368149782
101	0.01340722521
102	0.0133348151
103	0.01329884515
104	0.01322105625
105	0.0131523011
106	0.01306510878
107	0.01287903509
108	0.01277745295
109	0.01262765977
110	0.01254539952
111	0.01242324586
112	0.01235950696
113	0.01219685919
114	0.01216840271
115	0.01207566917
116	0.01200718003
117	0.01186122797
118	0.0117361338
119	0.01150647681
