Feature,Bin,Weight
CA125,1/3,-4
CA125,2/3,3
CA125,3/3,4
HE4,1/3,-4
HE4,2/3,5
HE4,3/3,1
Age,1/3,-1
Age,2/3,2
Age,3/3,1
Is_Postmenopausal,1/3,3
